nm_college,bl_private,qt_applications_received,qt_applications_accepted,qt_students_enrolled,qt_top_10_percent,qt_top_25_percent,qt_undergraduate_students,qt_postgraduate_students,vl_tuition_outstate,vl_room_board,vl_books_cost,vl_personal_expenses,pc_faculty_with_phd,pc_faculty_with_terminal_degree,vl_student_faculty_ratio,pc_alumni_donors,vl_expenditure_per_student,pc_graduation_rate
Goucher College,True,1151.0,813.0,248.0,40.0,64.0,850.0,80.0,15588.0,6174.0,500.0,1200.0,78.0,90.0,9.2,34.0,16623.0,77.0
SUNY at Albany,False,13528.0,9198.0,1843.0,16.0,61.0,10168.0,1231.0,6550.0,4355.0,700.0,1560.0,93.0,96.0,17.4,16.0,9075.0,74.0
Lawrence University,True,1243.0,947.0,324.0,50.0,77.0,1129.0,74.0,17163.0,3891.0,525.0,975.0,76.0,92.0,10.1,57.0,13965.0,77.0
East Carolina University,False,9274.0,6362.0,2435.0,14.0,44.0,13171.0,1687.0,7248.0,3240.0,500.0,1700.0,74.0,78.0,13.2,18.0,9002.0,58.0
Amherst College,True,4302.0,992.0,418.0,83.0,96.0,1593.0,5.0,19760.0,5300.0,660.0,1598.0,93.0,98.0,8.4,63.0,21424.0,100.0
North Central College,True,1127.0,884.0,308.0,30.0,64.0,1310.0,766.0,11718.0,7398.0,450.0,1800.0,73.0,87.0,16.4,33.0,8871.0,76.0
Loyola College,True,4076.0,3137.0,738.0,25.0,54.0,3010.0,184.0,12990.0,6300.0,600.0,900.0,86.0,88.0,14.7,27.0,9448.0,80.0
Whitworth College,True,1121.0,926.0,372.0,43.0,70.0,1270.0,160.0,12660.0,4500.0,678.0,2424.0,80.0,80.0,16.9,20.0,8328.0,80.0
Shorter College,True,540.0,445.0,165.0,23.0,70.0,1115.0,111.0,7210.0,3600.0,500.0,2000.0,62.0,65.0,13.2,18.0,7356.0,58.0
Alexander the Great Academy,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,,15.0,20.0,8000.0,60.0
Virginia Wesleyan College,True,1470.0,900.0,287.0,20.0,49.0,1130.0,417.0,10900.0,5100.0,500.0,550.0,70.0,81.0,15.7,14.0,7804.0,68.0
Presbyterian College,True,1082.0,832.0,302.0,34.0,63.0,1133.0,30.0,11859.0,3635.0,554.0,1429.0,80.0,85.0,13.4,42.0,8354.0,85.0
University of Illinois - Urbana,False,14939.0,11652.0,5705.0,52.0,88.0,25422.0,911.0,7560.0,4574.0,500.0,1982.0,87.0,90.0,17.4,13.0,8559.0,81.0
Hypatia University,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Alan Turing Academy,True,2000.0,,500.0,,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Phillips University,True,692.0,576.0,174.0,19.0,50.0,597.0,83.0,10500.0,3860.0,600.0,940.0,58.0,64.0,11.6,19.0,8990.0,39.0
Genghis Khan Center for Studies,True,2000.0,1500.0,500.0,20.0,,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Kansas State University,False,5880.0,4075.0,2833.0,25.0,55.0,14914.0,2246.0,6995.0,3120.0,600.0,2000.0,76.0,86.0,18.5,22.0,6122.0,54.0
Incarnate Word College,True,1163.0,927.0,386.0,16.0,49.0,1685.0,556.0,8840.0,4689.0,750.0,2775.0,67.0,69.0,11.4,21.0,6095.0,95.0
Smith College,True,2925.0,1598.0,632.0,51.0,88.0,2479.0,95.0,18820.0,6390.0,500.0,1050.0,85.0,97.0,10.3,44.0,21199.0,90.0
Mozart Academy,False,2000.0,1500.0,,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,0.0,60.0,100.0,15.0,20.0,1000000.0,60.0
Marie Curie University,True,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,,0.0,60.0,60.0,0.1,0.0,8000.0,60.0
Montana State University,False,3500.0,2836.0,1779.0,15.0,42.0,8730.0,993.0,5552.0,3710.0,550.0,2300.0,75.0,83.0,17.6,8.0,6324.0,37.0
Norwich University,True,1743.0,1625.0,626.0,8.0,29.0,1862.0,382.0,14134.0,5270.0,500.0,800.0,71.0,74.0,13.1,22.0,9209.0,63.0
New Mexico Institute of Mining and Tech.,False,787.0,601.0,233.0,40.0,73.0,1017.0,411.0,5376.0,3214.0,600.0,1100.0,99.0,100.0,13.7,11.0,9241.0,34.0
Louisiana College,True,2013.0,1053.0,212.0,33.0,61.0,912.0,158.0,5150.0,3036.0,500.0,1655.0,64.0,74.0,10.5,11.0,7547.0,59.0
Vassar College,True,3550.0,1877.0,653.0,53.0,87.0,2164.0,77.0,18920.0,5950.0,600.0,800.0,90.0,98.0,9.7,39.0,17089.0,90.0
Whittier College,True,1681.0,1069.0,344.0,35.0,63.0,1235.0,30.0,16249.0,5699.0,500.0,1998.0,84.0,92.0,13.6,29.0,11778.0,52.0
University of Southern California,True,12229.0,8498.0,2477.0,45.0,71.0,13259.0,1429.0,17230.0,6482.0,600.0,2210.0,90.0,94.0,11.4,10.0,17007.0,68.0
Trinity College VT,True,222.0,185.0,91.0,16.0,41.0,484.0,541.0,11010.0,5208.0,550.0,500.0,58.0,78.0,10.4,26.0,9586.0,78.0
University of Missouri at Columbia,False,6574.0,4637.0,2940.0,32.0,62.0,14782.0,1583.0,9057.0,3485.0,600.0,1983.0,87.0,87.0,12.7,15.0,10145.0,58.0
Mississippi State University,False,4255.0,3277.0,1609.0,18.0,57.0,10094.0,1621.0,9866.0,3084.0,480.0,1479.0,77.0,77.0,15.9,20.0,6223.0,53.0
University of Nebraska at Lincoln,False,6277.0,6003.0,3526.0,33.0,63.0,16454.0,3171.0,5595.0,3145.0,500.0,2070.0,86.0,92.0,15.1,48.0,6813.0,53.0
Concordia Lutheran College,True,232.0,216.0,106.0,16.0,34.0,534.0,172.0,6900.0,3800.0,450.0,1825.0,67.0,76.0,12.1,9.0,6875.0,42.0
Western State College of Colorado,False,2702.0,1623.0,604.0,7.0,24.0,2315.0,146.0,5918.0,3755.0,500.0,2050.0,76.0,79.0,19.4,4.0,4599.0,52.0
Marshall University,True,4226.0,3666.0,2007.0,14.0,60.0,7703.0,2339.0,5094.0,4010.0,700.0,1560.0,77.0,86.0,16.6,10.0,6203.0,50.0
Alan Turing Center for Studies,False,2000.0,1500.0,,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,1000000.0,60.0
College of Charleston,False,4772.0,3140.0,1265.0,22.0,55.0,6851.0,1200.0,6120.0,3460.0,666.0,2316.0,73.0,78.0,17.2,18.0,4776.0,51.0
St. Martin's College,True,191.0,165.0,63.0,5.0,25.0,494.0,574.0,11550.0,4270.0,300.0,500.0,43.0,77.0,14.5,8.0,9209.0,40.0
Isaac Newton Academy,False,2000.0,,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,,60.0,15.0,20.0,8000.0,60.0
North Dakota State University,False,2968.0,2297.0,1610.0,13.0,47.0,7368.0,1128.0,5834.0,2744.0,600.0,2000.0,79.0,83.0,17.0,24.0,6310.0,42.0
Greenville College,True,510.0,387.0,194.0,20.0,46.0,771.0,53.0,10310.0,4530.0,400.0,800.0,57.0,61.0,14.3,16.0,8222.0,60.0
